provider,model,random_seed,n_shot,example_strategy,expert_name,accuracy_vs_expert,kappa_vs_expert,f1_vs_expert,accuracy_vs_gt,accuracy_expert_vs_gt,n_total_test
classical,k-NN (k=5),123,10,easy,aniso_x2,0.9357142857142857,0.8719512195121951,0.9356847652577027,0.8928571428571429,0.8666666666666667,140
classical,Logistic Regression,123,10,easy,aniso_x2,0.9428571428571428,0.8860862489829129,0.9428571428571428,0.9,0.8666666666666667,140
classical,SVM (RBF),123,10,easy,aniso_x2,0.95,0.9002442996742671,0.9500178580539824,0.8928571428571429,0.8666666666666667,140
classical,k-NN (k=5),123,10,hard,aniso_x2,0.7714285714285715,0.5406070549630845,0.7711941391941393,0.8285714285714286,0.8666666666666667,140
classical,Logistic Regression,123,10,hard,aniso_x2,0.8571428571428571,0.7119341563786008,0.8565244279529994,0.9,0.8666666666666667,140
classical,SVM (RBF),123,10,hard,aniso_x2,0.7214285714285714,0.4513665594855306,0.716468202764977,0.7785714285714286,0.8666666666666667,140
classical,k-NN (k=5),123,10,mixed,aniso_x2,0.8214285714285714,0.6402138157894737,0.8208312196269585,0.8642857142857143,0.8666666666666667,140
classical,Logistic Regression,123,10,mixed,aniso_x2,0.8142857142857143,0.6309813463098135,0.8138305322128851,0.8857142857142857,0.8666666666666667,140
classical,SVM (RBF),123,10,mixed,aniso_x2,0.8214285714285714,0.6437296416938111,0.8214923501927941,0.8928571428571429,0.8666666666666667,140
classical,k-NN (k=5),123,10,random,aniso_x2,0.9285714285714286,0.8571428571428572,0.9286297852474323,0.9214285714285714,0.8666666666666667,140
classical,Logistic Regression,123,10,random,aniso_x2,0.8928571428571429,0.7872771474878444,0.8925013683634374,0.8857142857142857,0.8666666666666667,140
classical,SVM (RBF),123,10,random,aniso_x2,0.8785714285714286,0.7593042071197411,0.8779192880159582,0.8857142857142857,0.8666666666666667,140
classical,k-NN (k=5),123,20,easy,aniso_x2,0.9846153846153847,0.9691723974389377,0.984626331922347,0.8615384615384616,0.8666666666666667,130
classical,Logistic Regression,123,20,easy,aniso_x2,0.9692307692307692,0.9384615384615385,0.9692599274688827,0.8615384615384616,0.8666666666666667,130
classical,SVM (RBF),123,20,easy,aniso_x2,0.9538461538461539,0.9069878368709754,0.953713939438456,0.8769230769230769,0.8666666666666667,130
classical,k-NN (k=5),123,20,hard,aniso_x2,0.9692307692307692,0.9382276075077216,0.9692307692307692,0.9307692307692308,0.8666666666666667,130
classical,Logistic Regression,123,20,hard,aniso_x2,1.0,1.0,1.0,0.9153846153846154,0.8666666666666667,130
classical,SVM (RBF),123,20,hard,aniso_x2,0.9692307692307692,0.9384615384615385,0.9692599274688827,0.9,0.8666666666666667,130
classical,k-NN (k=5),123,20,mixed,aniso_x2,0.8307692307692308,0.6602518412924685,0.8307692307692308,0.8923076923076924,0.8666666666666667,130
classical,Logistic Regression,123,20,mixed,aniso_x2,0.9076923076923077,0.8139756737419509,0.9074278788769121,0.9076923076923077,0.8666666666666667,130
classical,SVM (RBF),123,20,mixed,aniso_x2,0.8846153846153846,0.7681331747919145,0.8845536412573691,0.9153846153846154,0.8666666666666667,130
classical,k-NN (k=5),123,20,random,aniso_x2,0.9230769230769231,0.8467342607875501,0.9230769230769231,0.9,0.8666666666666667,130
classical,Logistic Regression,123,20,random,aniso_x2,0.9307692307692308,0.8621908127208481,0.9307323601305494,0.8923076923076924,0.8666666666666667,130
classical,SVM (RBF),123,20,random,aniso_x2,0.9076923076923077,0.8167723749119098,0.9074298835492866,0.8846153846153846,0.8666666666666667,130
classical,k-NN (k=5),123,40,easy,aniso_x2,0.9363636363636364,0.8725587553790136,0.9364426877470355,0.8636363636363636,0.8666666666666667,110
classical,Logistic Regression,123,40,easy,aniso_x2,0.9363636363636364,0.8725587553790136,0.9364426877470355,0.8636363636363636,0.8666666666666667,110
classical,SVM (RBF),123,40,easy,aniso_x2,0.9545454545454546,0.9092109607131066,0.954601845098909,0.8454545454545455,0.8666666666666667,110
classical,k-NN (k=5),123,40,hard,aniso_x2,1.0,1.0,1.0,0.9454545454545454,0.8666666666666667,110
classical,Logistic Regression,123,40,hard,aniso_x2,1.0,1.0,1.0,0.9454545454545454,0.8666666666666667,110
